"title","genre","rating"
"Star Trek: Voyager","Action, Adventure, Sci-Fi",7.8
"Hannibal","Crime, Drama, Horror",8.5
"Dawson's Creek","Drama, Romance",6.6
"Shtisel","Drama",8.6
"Jujutsu Kaisen","Animation, Action, Adventure",8.7
"South Park","Animation, Comedy",8.7
"Avatar: The Last Airbender","Animation, Action, Adventure",9.2
"When Calls the Heart","Drama, Family, Romance",8.1
"House of Cards","Drama",8.7
"The Departed","Crime, Drama, Thriller",8.5
"The Dig","Biography, Drama, History",7.1
"Emily in Paris","Comedy, Drama, Romance",7
"Star Trek","Action, Adventure, Sci-Fi",8.3
"Virgin River","Drama, Romance",7.5
"Animal Kingdom","Crime, Drama",8.2
"Gone Girl","Drama, Mystery, Thriller",8.1
"Murder, She Wrote","Crime, Drama, Mystery",7
"Monster","Crime, Drama",6.4
"Dynasty","Drama",7.3
"Élite","Crime, Drama, Thriller",7.6
"The Americans","Crime, Drama, Mystery",8.4
"Designated Survivor","Action, Drama, Mystery",7.5
"It","Horror",7.3
"Murdoch Mysteries","Crime, Drama, Mystery",8.1
"The Kominsky Method","Comedy, Drama",8.2
"Girl From Nowhere","Crime, Drama, Fantasy",7.7
"Two Distant Strangers","Short, Drama, Sci-Fi",6.9
"Captain America: Civil War","Action, Adventure, Sci-Fi",7.8
"Spider-Man: Far from Home","Action, Adventure, Sci-Fi",7.5
"13 Reasons Why","Drama, Mystery, Thriller",7.6
"Arrival","Drama, Sci-Fi",7.9
"Jurassic Park","Action, Adventure, Sci-Fi",8.1
"Snabba Cash","Action, Crime, Drama",7.7
"Pieces of a Woman","Drama",7.1
"Altered Carbon","Action, Drama, Sci-Fi",8
"The Lord of the Rings: The Return of the King","Action, Adventure, Drama",8.9
"Firefly Lane","Drama, Romance",7.5
"Fate: The Winx Saga","Action, Adventure, Drama",6.9
"Baby Drivers","Action, Crime, Drama",7.6
"Skins","Drama",8.2
"300","Action, Drama",7.6
"Spider-Man","Action, Adventure, Sci-Fi",7.3
"Death Note: Desu n<U+00F4>to","Animation, Crime, Drama",9
"Grace and Frankie","Comedy",8.3
"The Haunting of Hill House","Drama, Horror, Mystery",8.6
"Pretty Little Liars","Drama, Mystery, Romance",7.4
"Black Sails","Adventure, Drama",8.2
"Revenge","Drama, Mystery, Thriller",7.8
"Gossip Girl","Drama, Romance",7.4
"American Psycho","Comedy, Crime, Drama",7.6
"The Irishman","Biography, Crime, Drama",7.8
"Contratiempo","Crime, Drama, Mystery",8.1
"The Whole Truth","Crime, Drama, Mystery",6.2
"Jane the Virgin","Comedy",7.8
"Moneyball","Biography, Drama, Sport",7.6
"Luther","Crime, Drama, Mystery",8.5
"Reign","Drama, Fantasy",7.5
"White Collar","Comedy, Crime, Drama",8.2
"Enterprise","Action, Adventure, Drama",7.5
"Longmire","Action, Crime, Drama",8.3
"Hillbilly Elegy","Drama",6.7
"Bad Trip","Comedy",6.6
"Keeping Up with the Kardashians","Drama, Family, Reality-TV",2.8
"Honest Thief","Action, Crime, Drama",6
"Jumanji: Welcome to the Jungle","Action, Adventure, Comedy",6.9
"Venom","Action, Adventure, Sci-Fi",6.7
"Archer","Animation, Action, Comedy",8.6
"Bodyguard","Crime, Drama, Thriller",8.1
"Freaks and Geeks","Comedy, Drama",8.8
"Too Hot to Handle","Game-Show, Reality-TV, Romance",4.5
"Snowpiercer","Action, Drama, Sci-Fi",7.1
"Enola Holmes","Action, Adventure, Crime",6.6
"Ray Donovan","Crime, Drama",8.3
"Naruto","Animation, Action, Adventure",8.3
"The Fall","Crime, Drama, Thriller",8.2
"Bloodline","Drama, Thriller",7.9
"Final Space","Animation, Action, Adventure",8.3
"Hagane no renkinjutsushi","Animation, Action, Adventure",9.1
"The Affair","Drama",7.9
"Bates Motel","Drama, Horror, Mystery",8.1
"The Hobbit: An Unexpected Journey","Adventure, Fantasy",7.8
"Taxi Driver","Crime, Drama",8.2
"Locke & Key","Drama, Fantasy, Horror",7.4
"Batman v Superman: Dawn of Justice","Action, Adventure, Sci-Fi",6.4
"Tropic Thunder","Action, Comedy, War",7
"The Alienist","Crime, Drama, Mystery",7.7
"Legally Blonde","Comedy, Romance",6.3
"The White Tiger","Crime, Drama",7.1
"The Water Man","Adventure, Drama, Family",5.8
"The Tudors","Drama, History, Romance",8.1
"Eurovision Song Contest: The Story of Fire Saga","Comedy, Music",6.5
"Kill Bill: Vol. 1","Action, Crime, Drama",8.1
"After Life","Comedy, Drama",8.4
"American Crime Story","Biography, Crime, Drama",8.4
"Narcos: Mexico","Crime, Drama",8.4
"Spirited Away","Animation, Adventure, Family",8.6
"Cheers","Comedy, Drama",7.8
"Sicario","Action, Crime, Drama",7.6
"Sense8","Drama, Mystery, Sci-Fi",8.3
"Good Witch","Comedy, Drama, Fantasy",7.3
"Concrete Cowboy","Drama",6.3
"Uncut Gems","Crime, Drama, Thriller",7.4
"Outer Banks","Action, Crime, Drama",7.6
"Moxie","Comedy, Drama, Music",6.7
"Travelers","Drama, Mystery, Sci-Fi",8.1
"The King","Biography, Drama, History",7.2
"Kim's Convenience","Comedy",8.2
"The Lord of the Rings: The Two Towers","Action, Adventure, Drama",8.7
"The Disciple","Drama, Music",7.2
"Poldark","Drama, History, Romance",8.3
"Head tüübid","Action, Comedy, Crime",7.4
"Jessica Jones","Action, Crime, Drama",7.9
"Dead to Me","Comedy, Drama",8
"Black Lightning","Action, Drama, Sci-Fi",6.1
"Anne","Drama, Family",8.7
"Don't Breathe","Crime, Horror, Thriller",7.1
"The One","Crime, Drama, Sci-Fi",6.6
"The Shannara Chronicles","Adventure, Fantasy, Sci-Fi",7.2
"Breach","Action, Sci-Fi",2.9
